Joueur 1;0
Joueur 2;0
Joueur 1;0
Joueur 2;0
Joueur 1;0
Joueur 2;0
Joueur 1;0
Joueur 2;0
Joueur 1;0
Joueur 2;27
Joueur 1;2
Joueur 2;23
Joueur 1;2
Joueur 2;23
Joueur 1;8
Joueur 2;25
Joueur 1;8
Joueur 2;25
Joueur 1;4
Joueur 2;22
Joueur 1;4
Joueur 2;31
Joueur 1;6
Joueur 2;39
Joueur 1;6
Joueur 2;39
Joueur 1;6
Joueur 2;39
Joueur 1;6
Joueur 2;39
Joueur 1;6
Joueur 2;39
Joueur 1;6
Joueur 2;39
Joueur 1;11
Joueur 2;14
Joueur 1;11
Joueur 2;14
Joueur 1;11
Joueur 2;14
Joueur 1;13
Joueur 2;14
Joueur 1;13
Joueur 2;14
Joueur 1;13
Joueur 2;14
Joueur 1;13
Joueur 2;16
